id;Enseignes;Latitude;Longitude;CP;Adresse;Ville;Type
62240005;Carrefour Contact;5066900.0;183800.0;62240;22 rue du 11 Novembre;DESVRES;R
62250001;Carrefour Market;5080900.0;169600.0;62250;Avenue Ferber;MARQUISE;R
62250009;Carrefour Contact;5084000.0;177400.0;62250;RUE JEAN MONNET;Landrethun-le-Nord;R
62260002;Carrefour Market;5051600.0;247600.0;62260;RUE D ALLOUAGNE;AUCHEL;R
62270002;Carrefour Market;5027748.0;229229.0;62270;5,RUE JULES FERRY;FRéVENT;R
62280001;Carrefour Market;5070586.0;161382.0;62280; Route de Paris;SAINT-MARTIN-BOULOGNE;R
62280002;Carrefour Market;5073700.0;162200.0;62280;Route de Calais;SAINT-MARTIN-BOULOGNE;R
62310001;Carrefour Market;5051200.0;213400.0;62310;ROUTE DE HESDIN;FRUGES;R
62320001;Carrefour Market;5039300.0;292300.0;62320;ROUTE DE DROCOURT;ROUVROY;R
62330001;Carrefour Market;5060900.0;247200.0;62330;Rue de l'Eglise Berguette;ISBERGUES;R
62340001;Carrefour Market;5086232.70932;188456.97499;62340;ZAE DU MOULIN A HUILE;GUîNES;R
62350002;Carrefour Contact;5062000.0;254200.0;62350;Rue de Busnes;Saint-Venant;R
62370001;Carrefour Market;5087400.0;207500.0;62370;1000 AVENUE DES ALLIES;AUDRUICQ;R
62400002;Carrefour Market;5052533.0;265029.0;62400;655 Rue de Lille;Béthune;R
62400003;Carrefour Market;5054721.0;266418.0;62400;Rue du 11 Novembre;ESSARS;R
62450001;Carrefour Market;5010600.0;284300.0;62450;Avenue des frères Davion;BAPAUME;R
62460002;Carrefour Market;5046900.0;250300.0;62460;16 RUE PIERRE BACHELET;DIVION;R
62500001;Carrefour;5075500.0;224000.0;62500;Avenue Joffre;SAINT-MARTIN-AU-LAëRT;R
62510002;Carrefour Market;5073600.0;228000.0;62510;Avenue Georges Brassens;ARQUES;R
62520001;Carrefour Market;5051152.0;162056.0;62520; Avenue Georges Besse;LE TOUQUET-PARIS-PLAGE;R
62550002;Carrefour Contact;5048500.0;241400.0;62550;245 AVENUE KENNEDY;PERNES;R
62560003;Carrefour Contact;5059800.0;209600.0;62560;500 AVENUE ROLAND HUGUET;Fauquembergues;R
62600002;Carrefour;5040508.99239;159571.571173;62600;940 AVENUE DE VERDUN;BERCK;R
62600003;Carrefour Market;5040700.0;157100.0;62600;41 Rue Soubitez;BERCK;R
62610001;Carrefour Market;5089118.1979571;197101.08987238;62610;ZAC DU PONT SANS PAREIL;ARDRES;R
62630003;Carrefour Market;5051650.0;164375.0;62630;ROUTE DE BOULOGNE;ÉTAPLES;R
62650002;Carrefour Contact;5056838.6;190801.3;62650;18 BIS RUE DE LA LONGEVILLE;HUCQUELIERS;R
62660001;Carrefour Market;5051700.0;268300.0;62660;ROUTE DE LILLE;BEUVRY;R
62690001;Carrefour Market;5035000.0;258200.0;62690;50 rue GEORGES LAMIOT;AUBIGNY-EN-ARTOIS;R
62720002;Carrefour Contact;5080700.0;173000.0;62720;Rue Roger Salengro;RINXENT;R
62730002;Carrefour Market;5094600.0;195200.0;62730;rue pasteur;MARCK;R
62760001;Carrefour Contact;5015800.0;248400.0;62760;Rue de Verdun;PAS-EN-ARTOIS;R
62770001;Carrefour Contact;5040100.0;210100.0;62770;RUE WATTINNE BOSSUT;AUCHY-LèS-HESDIN;R
62790001;Carrefour Market;5043700.0;305700.0;62790;AVENUE MITTERRAND;LEFOREST;R
62800001;Carrefour;5042200.0;277400.0;62800;2 Rue Marie Liétard;LIévin;R
62810001;Carrefour Market;5027889.0;253606.0;62810;1000 avenue Francois Mitterand;AVESNES-LE-COMTE;R
62840004;Carrefour Contact;5065300.0;283900.0;62840;7bis rue des Glattignies;Fleurbaix;R
62840005;Carrefour Contact;5065883.405;277032.57631579;62840;1173 RUE DE LA LYS;Sailly-sur-la-Lys;R
62850001;Carrefour Contact;5079000.0;195100.0;62850;Rue de Courtebourne;LICQUES;R
62870002;Carrefour Contact;5040100.0;188000.0;62870;Rue Daniel Ranger;CAMPAGNE-LèS-HESDIN;R
62901001;Carrefour;5093700.0;180900.0;62231;1001 BOULEVARD DU KENT;COQUELLES;R
62910001;Carrefour Market;5082100.0;219600.0;62910;RUE BLEUE MAISON;Éperlecques;R
62940001;Carrefour Market;5046700.0;256500.0;62940;RUE EMILE ZOLA;HAILLICOURT;R
62990001;Carrefour Market;5042500.0;190100.0;62990;rue du 21 mai 1940;BEAURAINVILLE;R
63140002;Carrefour Contact;4591853.0;307300.0;63140;3 Route de Riom;Châtel-Guyon;R
63190001;Carrefour Market;4582699.0;337353.0;63190;RUE GEORGES CLEMENCEAU;LEZOUX;R
63200001;Carrefour;4587800.0;311700.0;63200;AVENUE DE CLERMONT;MENETROL;R
63200006;Carrefour Market;4588800.0;312300.0;63200;RUE DU CREUX;Riom;R
63210003;Carrefour Contact;4568500.0;279600.0;63210;Route d'Herment;Rochefort-Montagne;R
63230002;Carrefour Market;4582700.0;285100.0;63230;18 Avenue de la Gare;Pontgibaud;R
63260003;Carrefour Market;4601017.1298393;319710.85238038;63260;ZAC De Juilhat;Aigueperse;R
63300001;Carrefour;4583900.0;351000.0;63300;rue François Truffaut;Thiers;R
63360001;Carrefour Market;4581675.0;315286.0;63360;ALLEE DE FONCHENILLE;Gerzat;R
63390001;Carrefour Contact;4603078.72738;282101.927933;63390;RUE DE L`EGALITE;SAINT-GERVAIS-D'AUVERGNE;R
63490001;Carrefour Contact;4555000.0;336600.0;63490;Route d'Issoire;Sauxillanges;R
63490002;Carrefour Contact;4555033.0010776;336694.37459243;63490;2 route d'Issoire;Sauxillanges;R
63500002;Carrefour;4555200.0;326800.0;63500;RUE JEAN BIGOT;ISSOIRE;R
63600001;Carrefour Market;4554300.0;372900.0;63600;Route du PUY;AMBERT;R
63650001;Carrefour Market;4586832.7222146;363280.76412604;63650;RUE DE CHANTELAUZE;La Monnerie-le-Montel;R
63700004;Carrefour Market;4616000.0;283800.0;63700;Rue Jean Moulin;Saint-Éloy-les-Mines;R
63960005;Carrefour Contact;4567100.0;317200.0;63960;16 CHEMIN DU CHARDONNET;Veyre-Monton;R
64100010;Carrefour Market;4348300.0;-148800.0;64100;22 Chemin d'Arancette;Bayonne;R
64120004;Carrefour Market;4332722.4350858;-103345.85189475;64120;Rue Gambetta;Amendeuix-Oneix;R
64130002;Carrefour Market;4322600.0;-88500.0;64130;36, Boulevard des Pyrénées;Mauléon-Licharre;R
64150008;Carrefour Market;4338565.4130567;-61129.551817699;64150;CHEMIN DEPARTEMENTAL 533;OS MARSILLON;R
64220004;Carrefour Market;4316500.0;-123400.0;64220;AV DU JAI ALAI;Saint-Jean-Pied-de-Port;R
64230003;Carrefour Contact;4334732.07728;-47633.1886047;64230;3 rue principale;POEY DE LESCAR;R
64230006;Carrefour Contact;4334649.5316027;-47879.722090508;64230;3 RUE PRINCIPALE;POEY-DE-LESCAR;R
64233001;Carrefour;4331800.0;-42400.0;64230;route de bayonne;LESCAR;R
64240005;Carrefour Market;4349396.204;-129340.512;64240;ALLEE DE LA CROIX;URT;R
64250005;Carrefour Contact;4336195.0140658;-140378.86367707;64250;17, allée Edmond Rostand;Cambo les bains;R
64260002;Carrefour Market;4310900.0;-43200.0;64260;22 rue du Parc National;ARUDY;R
64270002;Carrefour Market;4347492.0;-91425.000000002;64270;Route d'Orthez;Salies-de-Béarn;R
64350002;Carrefour Contact;4345037.0;-10814.0;64350; Rue des Pelhans;LEMBEYE;R
64370001;Carrefour Contact;4347600.0;-61300.0;64370;ZA DE N'HAUX;Arthez-de-Béarn;R
64410001;Carrefour Contact;4353600.0;-41000.0;64410;route de Samadet;ARZACQARRAZIGUET;R
64500003;Carrefour;4340300.0;-162700.0;64500;107, Avenue de Jalday;SAINT-JEAN-DE-LUZ;R
64600002;Carrefour;4348600.0;-150100.0;64600;Boulevard du B.A.B.;Anglet;R
65000001;Carrefour Market;4322800.0;8800.0;65000;Place Germain Claverie;TARBES;R
65000009;Carrefour Market;4323426.0;5428.0;65000; Boulevard Lacaussade;TARBES;R
65100001;Carrefour Market;4308800.0;-4400.0;65100;Rue Lucien Pourxet;LOURDES;R
65110003;Carrefour Contact;4289995.0;-10814.0;65110;route pierrefitte;Cauterets;R
65120001;Carrefour Market;4287600.0;-600.0;65120;21 Avenue du Barege;ESQUIèZE-SèRE;R
65140003;Carrefour Contact;4338900.0;14500.0;65140;5 rue francis cruzel;Rabastens-de-Bigorre;R
65170002;Carrefour Market;4282800.0;33300.0;65170;ROUTE DE VIELLE AURE;Bourisp;R
